experiment	freq
frozenset({nan, 'ONCOLEAD_CELL_A549', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_ASPC1', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_BXPC3', 'Doxorubicin'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_COLO205'})	2
frozenset({nan, 'ONCOLEAD_CELL_DU145', 'Doxorubicin'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_HEPG2'})	2
frozenset({nan, 'ONCOLEAD_CELL_HL60', 'Doxorubicin'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_HT29'})	2
frozenset({nan, 'ONCOLEAD_CELL_IGROV1', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_LOVO', 'Doxorubicin'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_MDAMB231'})	2
frozenset({nan, 'ONCOLEAD_CELL_MDAMB435', 'Doxorubicin'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_MDAMB436'})	2
frozenset({nan, 'ONCOLEAD_CELL_MHHES1', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_MIAPACA2', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_MV411', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_NCIH460', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_PANC1', 'Doxorubicin'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_RAMOS'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_RDES'})	2
frozenset({nan, 'ONCOLEAD_CELL_SAOS2', 'Doxorubicin'})	2
frozenset({nan, 'Doxorubicin', 'ONCOLEAD_CELL_SW620'})	2
frozenset({nan, 'ONCOLEAD_CELL_U2OS', 'Doxorubicin'})	2
frozenset({nan, 'ONCOLEAD_CELL_U87MG', 'Doxorubicin'})	2
